2025-04-30 08:07:40:079 50 sec: 5945000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=92095, Min=45792, Avg=62778.8, 90=82239, 99=92031, 99.9=92095, 99.99=92095] 
2025-04-30 08:07:41:079 51 sec: 6068000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=89919, Min=45696, Avg=58770.08, 90=74623, 99=86207, 99.9=89919, 99.99=89919] 
2025-04-30 08:07:42:079 52 sec: 6185000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=89535, Min=46336, Avg=64855.66, 90=81919, 99=88639, 99.9=89535, 99.99=89535] 
2025-04-30 08:07:43:079 53 sec: 6306000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=99135, Min=44768, Avg=64842.58, 90=82431, 99=98687, 99.9=99135, 99.99=99135] 
2025-04-30 08:07:44:079 54 sec: 6425000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=99711, Min=44352, Avg=64281.01, 90=82879, 99=98815, 99.9=99711, 99.99=99711] 
2025-04-30 08:07:45:079 55 sec: 6547000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=90239, Min=49760, Avg=64008.92, 90=82111, 99=89855, 99.9=90239, 99.99=90239] 
2025-04-30 08:07:46:079 56 sec: 6664000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=98943, Min=42720, Avg=64243.42, 90=85503, 99=93887, 99.9=98943, 99.99=98943] 
2025-04-30 08:07:47:079 57 sec: 6786000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=110207, Min=44160, Avg=68530.89, 90=96063, 99=108351, 99.9=110207, 99.99=110207] 
2025-04-30 08:07:48:079 58 sec: 6908000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=102335, Min=43968, Avg=67577.18, 90=87295, 99=98239, 99.9=102335, 99.99=102335] 
2025-04-30 08:07:49:079 59 sec: 7024000 operations; 116000 current ops/sec; est completion in 3 minutes [INSERT: Count=116000, Max=94015, Min=50144, Avg=67129.52, 90=86655, 99=92991, 99.9=94015, 99.99=94015] 
2025-04-30 08:07:50:079 60 sec: 7146000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=98303, Min=45024, Avg=63463.74, 90=78207, 99=86207, 99.9=98303, 99.99=98303] 
2025-04-30 08:07:51:079 61 sec: 7266000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=103487, Min=47360, Avg=64599.2, 90=84927, 99=103295, 99.9=103487, 99.99=103487] 
2025-04-30 08:07:52:079 62 sec: 7385000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=102847, Min=45632, Avg=64938.76, 90=85951, 99=101887, 99.9=102847, 99.99=102847] 
2025-04-30 08:07:53:079 63 sec: 7505000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=95295, Min=48960, Avg=69584.93, 90=87423, 99=94143, 99.9=95295, 99.99=95295] 
2025-04-30 08:07:54:079 64 sec: 7626000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=99839, Min=45152, Avg=68045.88, 90=87999, 99=94783, 99.9=99839, 99.99=99839] 
2025-04-30 08:07:55:079 65 sec: 7745000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=110783, Min=46368, Avg=68331.43, 90=89151, 99=108863, 99.9=110783, 99.99=110783] 
2025-04-30 08:07:56:079 66 sec: 7867000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=106239, Min=46752, Avg=74929.44, 90=100543, 99=106047, 99.9=106239, 99.99=106239] 
2025-04-30 08:07:57:079 67 sec: 7986000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=86271, Min=48704, Avg=65022.66, 90=78207, 99=84543, 99.9=86271, 99.99=86271] 
2025-04-30 08:07:58:079 68 sec: 8106000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=104831, Min=43552, Avg=67865.07, 90=86335, 99=101631, 99.9=104831, 99.99=104831] 
2025-04-30 08:07:59:079 69 sec: 8227000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=92799, Min=45856, Avg=62620.3, 90=81279, 99=90239, 99.9=92799, 99.99=92799] 
2025-04-30 08:08:00:079 70 sec: 8347000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=85439, Min=49408, Avg=60736.8, 90=80319, 99=85055, 99.9=85439, 99.99=85439] 
2025-04-30 08:08:01:079 71 sec: 8468000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=87103, Min=47520, Avg=60716.69, 90=76991, 99=83967, 99.9=87103, 99.99=87103] 
2025-04-30 08:08:02:088 72 sec: 8588000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=96191, Min=46560, Avg=66565.2, 90=80895, 99=88383, 99.9=96191, 99.99=96191] 
2025-04-30 08:08:03:079 73 sec: 8708000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=108735, Min=46816, Avg=73289.07, 90=89919, 99=108607, 99.9=108735, 99.99=108735] 
2025-04-30 08:08:04:079 74 sec: 8823000 operations; 115000 current ops/sec; est completion in 2 minutes [INSERT: Count=115000, Max=98751, Min=49856, Avg=66778.71, 90=89471, 99=92415, 99.9=98751, 99.99=98751] 
2025-04-30 08:08:05:079 75 sec: 8947000 operations; 124000 current ops/sec; est completion in 2 minutes [INSERT: Count=124000, Max=107839, Min=46272, Avg=72238.84, 90=91455, 99=104127, 99.9=107839, 99.99=107839] 
2025-04-30 08:08:06:079 76 sec: 9066000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=105727, Min=46720, Avg=68977.61, 90=90751, 99=104959, 99.9=105727, 99.99=105727] 
2025-04-30 08:08:07:079 77 sec: 9186000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=95871, Min=49440, Avg=69404, 90=83327, 99=95423, 99.9=95871, 99.99=95871] 
2025-04-30 08:08:08:079 78 sec: 9304000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=94143, Min=52512, Avg=72224.14, 90=86783, 99=93823, 99.9=94143, 99.99=94143] 
2025-04-30 08:08:09:079 79 sec: 9425000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=106815, Min=46880, Avg=74878.16, 90=90687, 99=101311, 99.9=106815, 99.99=106815] 
