2025-05-01 03:20:05:204 59 sec: 4681000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=105407, Min=35360, Avg=62335.38, 90=77503, 99=105407, 99.9=105407, 99.99=105407] 
2025-05-01 03:20:06:204 60 sec: 4763000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=138495, Min=33056, Avg=64754.54, 90=87295, 99=138495, 99.9=138495, 99.99=138495] 
2025-05-01 03:20:07:204 61 sec: 4840000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=137087, Min=37696, Avg=72451.12, 90=101183, 99=137087, 99.9=137087, 99.99=137087] 
2025-05-01 03:20:08:204 62 sec: 4921000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=105279, Min=34848, Avg=69048.49, 90=87423, 99=105279, 99.9=105279, 99.99=105279] 
2025-05-01 03:20:09:204 63 sec: 5003000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=97663, Min=36352, Avg=57685.07, 90=76543, 99=97663, 99.9=97663, 99.99=97663] 
2025-05-01 03:20:10:204 64 sec: 5084000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=139391, Min=34176, Avg=57958.72, 90=81599, 99=139391, 99.9=139391, 99.99=139391] 
2025-05-01 03:20:11:204 65 sec: 5162000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=116095, Min=34784, Avg=64913.85, 90=92927, 99=116095, 99.9=116095, 99.99=116095] 
2025-05-01 03:20:12:204 66 sec: 5241000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=183935, Min=35328, Avg=87624.1, 90=128063, 99=183935, 99.9=183935, 99.99=183935] 
2025-05-01 03:20:13:204 67 sec: 5322000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=136447, Min=34944, Avg=74574.22, 90=108927, 99=136447, 99.9=136447, 99.99=136447] 
2025-05-01 03:20:14:204 68 sec: 5404000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=160895, Min=33760, Avg=66749.46, 90=100479, 99=160895, 99.9=160895, 99.99=160895] 
2025-05-01 03:20:15:204 69 sec: 5484000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=102079, Min=32656, Avg=51499.1, 90=79103, 99=102079, 99.9=102079, 99.99=102079] 
2025-05-01 03:20:16:204 70 sec: 5565000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=97727, Min=35104, Avg=43098.07, 90=55135, 99=97727, 99.9=97727, 99.99=97727] 
2025-05-01 03:20:17:204 71 sec: 5644000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=60543, Min=31664, Avg=40950.18, 90=48639, 99=60543, 99.9=60543, 99.99=60543] 
2025-05-01 03:20:18:204 72 sec: 5725000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=86783, Min=33280, Avg=44588.84, 90=62975, 99=86783, 99.9=86783, 99.99=86783] 
2025-05-01 03:20:19:204 73 sec: 5806000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=92095, Min=33632, Avg=43484.84, 90=59615, 99=92095, 99.9=92095, 99.99=92095] 
2025-05-01 03:20:20:204 74 sec: 5885000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=57887, Min=35392, Avg=39059.24, 90=43711, 99=57887, 99.9=57887, 99.99=57887] 
2025-05-01 03:20:21:204 75 sec: 5965000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=85567, Min=31040, Avg=39713.3, 90=42047, 99=85567, 99.9=85567, 99.99=85567] 
2025-05-01 03:20:22:204 76 sec: 6045000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=106623, Min=33344, Avg=45563.4, 90=61759, 99=106623, 99.9=106623, 99.99=106623] 
2025-05-01 03:20:23:204 77 sec: 6125000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=98431, Min=32864, Avg=49341.2, 90=64927, 99=98431, 99.9=98431, 99.99=98431] 
2025-05-01 03:20:24:204 78 sec: 6202000 operations; 77000 current ops/sec; est completion in 3 minutes [INSERT: Count=77000, Max=121087, Min=36544, Avg=63794.08, 90=101695, 99=121087, 99.9=121087, 99.99=121087] 
2025-05-01 03:20:25:204 79 sec: 6283000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=217599, Min=32800, Avg=75079.11, 90=116607, 99=217599, 99.9=217599, 99.99=217599] 
2025-05-01 03:20:26:204 80 sec: 6365000 operations; 82000 current ops/sec; est completion in 3 minutes [INSERT: Count=82000, Max=195583, Min=31312, Avg=77073.56, 90=134399, 99=195583, 99.9=195583, 99.99=195583] 
2025-05-01 03:20:27:204 81 sec: 6440000 operations; 75000 current ops/sec; est completion in 3 minutes [INSERT: Count=75000, Max=153471, Min=30000, Avg=53221.23, 90=72319, 99=153471, 99.9=153471, 99.99=153471] 
2025-05-01 03:20:28:204 82 sec: 6524000 operations; 84000 current ops/sec; est completion in 3 minutes [INSERT: Count=85000, Max=165119, Min=34080, Avg=61298.45, 90=91583, 99=165119, 99.9=165119, 99.99=165119] 
2025-05-01 03:20:29:204 83 sec: 6605000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=119935, Min=33152, Avg=56653.4, 90=83519, 99=119935, 99.9=119935, 99.99=119935] 
2025-05-01 03:20:30:204 84 sec: 6685000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=88319, Min=30752, Avg=49822.8, 90=76351, 99=88319, 99.9=88319, 99.99=88319] 
2025-05-01 03:20:31:204 85 sec: 6763000 operations; 78000 current ops/sec; est completion in 3 minutes [INSERT: Count=78000, Max=68735, Min=35200, Avg=44966.97, 90=54751, 99=68735, 99.9=68735, 99.99=68735] 
2025-05-01 03:20:32:204 86 sec: 6843000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=119487, Min=34528, Avg=48391, 90=66495, 99=119487, 99.9=119487, 99.99=119487] 
2025-05-01 03:20:33:204 87 sec: 6924000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=105407, Min=32896, Avg=51189.53, 90=75839, 99=105407, 99.9=105407, 99.99=105407] 
2025-05-01 03:20:34:204 88 sec: 7004000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=80767, Min=32560, Avg=52289.3, 90=65663, 99=80767, 99.9=80767, 99.99=80767] 
2025-05-01 03:20:35:204 89 sec: 7085000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=80255, Min=35168, Avg=48442.67, 90=64447, 99=80255, 99.9=80255, 99.99=80255] 
2025-05-01 03:20:36:204 90 sec: 7165000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=107775, Min=33600, Avg=47534.6, 90=68415, 99=107775, 99.9=107775, 99.99=107775] 
2025-05-01 03:20:37:204 91 sec: 7245000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=66623, Min=30224, Avg=41171.3, 90=53663, 99=66623, 99.9=66623, 99.99=66623] 
2025-05-01 03:20:38:204 92 sec: 7325000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=75711, Min=32800, Avg=43875.4, 90=58143, 99=75711, 99.9=75711, 99.99=75711] 
2025-05-01 03:20:39:204 93 sec: 7405000 operations; 80000 current ops/sec; est completion in 3 minutes [INSERT: Count=80000, Max=133759, Min=33664, Avg=56107.8, 90=78527, 99=133759, 99.9=133759, 99.99=133759] 
2025-05-01 03:20:40:204 94 sec: 7482000 operations; 77000 current ops/sec; est completion in 3 minutes [INSERT: Count=77000, Max=196735, Min=36128, Avg=80107.01, 90=148095, 99=196735, 99.9=196735, 99.99=196735] 
2025-05-01 03:20:41:204 95 sec: 7563000 operations; 81000 current ops/sec; est completion in 3 minutes [INSERT: Count=81000, Max=109695, Min=33056, Avg=59109.93, 90=79487, 99=109695, 99.9=109695, 99.99=109695] 
