2025-05-01 04:13:42:647 48 sec: 3807000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=85567, Min=35264, Avg=40592, 90=48543, 99=85567, 99.9=85567, 99.99=85567] 
2025-05-01 04:13:43:647 49 sec: 3886000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=58783, Min=31936, Avg=37716.15, 90=44063, 99=58783, 99.9=58783, 99.99=58783] 
2025-05-01 04:13:44:647 50 sec: 3966000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=102591, Min=32544, Avg=47265.5, 90=64255, 99=102591, 99.9=102591, 99.99=102591] 
2025-05-01 04:13:45:647 51 sec: 4047000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=147199, Min=34144, Avg=61490.57, 90=93887, 99=147199, 99.9=147199, 99.99=147199] 
2025-05-01 04:13:46:647 52 sec: 4125000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=81983, Min=33536, Avg=45777.44, 90=64703, 99=81983, 99.9=81983, 99.99=81983] 
2025-05-01 04:13:47:647 53 sec: 4207000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=103295, Min=35008, Avg=48210.34, 90=73471, 99=103295, 99.9=103295, 99.99=103295] 
2025-05-01 04:13:48:647 54 sec: 4285000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=113279, Min=35584, Avg=50038.56, 90=78719, 99=113279, 99.9=113279, 99.99=113279] 
2025-05-01 04:13:49:647 55 sec: 4365000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=91135, Min=35744, Avg=53978.6, 90=78783, 99=91135, 99.9=91135, 99.99=91135] 
2025-05-01 04:13:50:647 56 sec: 4445000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=107199, Min=35040, Avg=58162.2, 90=85183, 99=107199, 99.9=107199, 99.99=107199] 
2025-05-01 04:13:51:647 57 sec: 4525000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=86335, Min=33856, Avg=48580.4, 90=66751, 99=86335, 99.9=86335, 99.99=86335] 
