2025-04-30 09:51:28:114 61 sec: 7267000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=100031, Min=45536, Avg=65925.69, 90=86079, 99=94975, 99.9=100031, 99.99=100031] 
2025-04-30 09:51:29:114 62 sec: 7387000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=94655, Min=46336, Avg=66159.07, 90=82303, 99=91135, 99.9=94655, 99.99=94655] 
2025-04-30 09:51:30:114 63 sec: 7507000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=92031, Min=48928, Avg=68722.53, 90=85503, 99=91071, 99.9=92031, 99.99=92031] 
2025-04-30 09:51:31:114 64 sec: 7627000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=100671, Min=44768, Avg=64413.6, 90=80447, 99=95807, 99.9=100671, 99.99=100671] 
2025-04-30 09:51:32:114 65 sec: 7746000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=99327, Min=46016, Avg=62802.42, 90=79551, 99=99135, 99.9=99327, 99.99=99327] 
2025-04-30 09:51:33:114 66 sec: 7868000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=108095, Min=46784, Avg=77126.3, 90=94143, 99=103871, 99.9=108095, 99.99=108095] 
2025-04-30 09:51:34:114 67 sec: 7986000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=89919, Min=47136, Avg=65419.12, 90=79551, 99=88383, 99.9=89919, 99.99=89919] 
2025-04-30 09:51:35:114 68 sec: 8108000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=99967, Min=45056, Avg=62726.95, 90=80191, 99=99839, 99.9=99967, 99.99=99967] 
2025-04-30 09:51:36:114 69 sec: 8228000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=86719, Min=43520, Avg=58466.67, 90=72831, 99=86527, 99.9=86719, 99.99=86719] 
2025-04-30 09:51:37:114 70 sec: 8348000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=85631, Min=50528, Avg=58737.6, 90=74303, 99=85439, 99.9=85631, 99.99=85631] 
2025-04-30 09:51:38:114 71 sec: 8468000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=84607, Min=44320, Avg=58783.47, 90=73791, 99=84095, 99.9=84607, 99.99=84607] 
2025-04-30 09:51:39:114 72 sec: 8588000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=94079, Min=43776, Avg=61635.31, 90=80255, 99=86399, 99.9=94079, 99.99=94079] 
2025-04-30 09:51:40:114 73 sec: 8709000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=104703, Min=46464, Avg=65338.93, 90=86911, 99=91583, 99.9=104703, 99.99=104703] 
2025-04-30 09:51:41:114 74 sec: 8825000 operations; 116000 current ops/sec; est completion in 2 minutes [INSERT: Count=116000, Max=87551, Min=50144, Avg=59077.1, 90=79359, 99=87167, 99.9=87551, 99.99=87551] 
2025-04-30 09:51:42:114 75 sec: 8947000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=103551, Min=47488, Avg=63809.97, 90=80959, 99=103167, 99.9=103551, 99.99=103551] 
