2025-05-01 03:02:53:533 62 sec: 7151000 operations; 74000 current ops/sec; est completion in 2 minutes [INSERT: Count=74000, Max=4089855, Min=33792, Avg=766577.73, 90=4005887, 99=4089855, 99.9=4089855, 99.99=4089855] 
2025-05-01 03:02:54:533 63 sec: 7317000 operations; 166000 current ops/sec; est completion in 2 minutes [INSERT: Count=166000, Max=4050943, Min=35232, Avg=2710036.82, 90=3885055, 99=4016127, 99.9=4050943, 99.99=4050943] 
2025-05-01 03:02:55:533 64 sec: 7466000 operations; 149000 current ops/sec; est completion in 2 minutes [INSERT: Count=149000, Max=2914303, Min=495104, Avg=2128628.83, 90=2752511, 99=2881535, 99.9=2914303, 99.99=2914303] 
2025-05-01 03:02:56:533 65 sec: 7619000 operations; 153000 current ops/sec; est completion in 2 minutes [INSERT: Count=153000, Max=1937407, Min=283392, Avg=1024706.93, 90=1538047, 99=1895423, 99.9=1937407, 99.99=1937407] 
2025-05-01 03:02:57:533 66 sec: 7703000 operations; 84000 current ops/sec; est completion in 2 minutes [INSERT: Count=84000, Max=2785279, Min=37952, Avg=346124.95, 90=1998847, 99=2785279, 99.9=2785279, 99.99=2785279] 
2025-05-01 03:02:58:533 67 sec: 7772000 operations; 69000 current ops/sec; est completion in 2 minutes [INSERT: Count=69000, Max=3532799, Min=34720, Avg=412469.57, 90=2949119, 99=3532799, 99.9=3532799, 99.99=3532799] 
2025-05-01 03:02:59:533 68 sec: 7842000 operations; 70000 current ops/sec; est completion in 2 minutes [INSERT: Count=70000, Max=4485119, Min=34048, Avg=684410.97, 90=3901439, 99=4485119, 99.9=4485119, 99.99=4485119] 
2025-05-01 03:03:00:533 69 sec: 7902000 operations; 60000 current ops/sec; est completion in 2 minutes [INSERT: Count=60000, Max=5234687, Min=40288, Avg=715363.2, 90=4808703, 99=5234687, 99.9=5234687, 99.99=5234687] 
2025-05-01 03:03:01:533 70 sec: 7923000 operations; 21000 current ops/sec; est completion in 2 minutes [INSERT: Count=21000, Max=6197247, Min=325120, Avg=2855350.86, 90=6053887, 99=6197247, 99.9=6197247, 99.99=6197247] 
2025-05-01 03:03:02:533 71 sec: 8056000 operations; 133000 current ops/sec; est completion in 2 minutes [INSERT: Count=133000, Max=6336511, Min=1065984, Avg=5367592.42, 90=6205439, 99=6311935, 99.9=6336511, 99.99=6336511] 
2025-05-01 03:03:03:533 72 sec: 8208000 operations; 152000 current ops/sec; est completion in 2 minutes [INSERT: Count=153000, Max=5201919, Min=1810432, Avg=4336690.2, 90=5070847, 99=5201919, 99.9=5201919, 99.99=5201919] 
2025-05-01 03:03:04:533 73 sec: 8349000 operations; 141000 current ops/sec; est completion in 2 minutes [INSERT: Count=140000, Max=3932159, Min=2576384, Avg=3292818.29, 90=3786751, 99=3897343, 99.9=3932159, 99.99=3932159] 
2025-05-01 03:03:05:533 74 sec: 8496000 operations; 147000 current ops/sec; est completion in 2 minutes [INSERT: Count=147000, Max=4259839, Min=1313792, Avg=2119673.03, 90=2611199, 99=4210687, 99.9=4259839, 99.99=4259839] 
2025-05-01 03:03:06:533 75 sec: 8638000 operations; 142000 current ops/sec; est completion in 2 minutes [INSERT: Count=142000, Max=5103615, Min=92352, Avg=967749.18, 90=1305599, 99=5058559, 99.9=5103615, 99.99=5103615] 
2025-05-01 03:03:07:533 76 sec: 8667000 operations; 29000 current ops/sec; est completion in 2 minutes [INSERT: Count=29000, Max=5951487, Min=33792, Avg=1726819.31, 90=5894143, 99=5951487, 99.9=5951487, 99.99=5951487] 
2025-05-01 03:03:08:533 77 sec: 8689000 operations; 22000 current ops/sec; est completion in 2 minutes [INSERT: Count=22000, Max=6803455, Min=792064, Avg=3141678.55, 90=6737919, 99=6803455, 99.9=6803455, 99.99=6803455] 
2025-05-01 03:03:09:533 78 sec: 8709000 operations; 20000 current ops/sec; est completion in 2 minutes [INSERT: Count=20000, Max=7700479, Min=1711104, Avg=4165222.4, 90=7602175, 99=7700479, 99.9=7700479, 99.99=7700479] 
2025-05-01 03:03:10:533 79 sec: 8775000 operations; 66000 current ops/sec; est completion in 2 minutes [INSERT: Count=66000, Max=8347647, Min=2451456, Avg=7284022.3, 90=8294399, 99=8347647, 99.9=8347647, 99.99=8347647] 
2025-05-01 03:03:11:533 80 sec: 8917000 operations; 142000 current ops/sec; est completion in 2 minutes [INSERT: Count=142000, Max=7970815, Min=3174400, Avg=7041586.48, 90=7745535, 99=7933951, 99.9=7970815, 99.99=7970815] 
2025-05-01 03:03:12:533 81 sec: 9061000 operations; 144000 current ops/sec; est completion in 2 minutes [INSERT: Count=144000, Max=6778879, Min=4018176, Avg=5909795.56, 90=6516735, 99=6742015, 99.9=6778879, 99.99=6778879] 
2025-05-01 03:03:13:533 82 sec: 9206000 operations; 145000 current ops/sec; est completion in 2 minutes [INSERT: Count=145000, Max=5730303, Min=4048896, Avg=4787383.61, 90=5304319, 99=5718015, 99.9=5730303, 99.99=5730303] 
2025-05-01 03:03:14:533 83 sec: 9353000 operations; 147000 current ops/sec; est completion in 2 minutes [INSERT: Count=147000, Max=6578175, Min=2723840, Avg=3602773.33, 90=4046847, 99=6569983, 99.9=6578175, 99.99=6578175] 
2025-05-01 03:03:15:533 84 sec: 9499000 operations; 146000 current ops/sec; est completion in 2 minutes [INSERT: Count=146000, Max=7426047, Min=1442816, Avg=2426322.41, 90=2742271, 99=7417855, 99.9=7426047, 99.99=7426047] 
2025-05-01 03:03:16:533 85 sec: 9523000 operations; 24000 current ops/sec; est completion in 2 minutes [INSERT: Count=24000, Max=8273919, Min=1377280, Avg=3765824, 90=8204287, 99=8273919, 99.9=8273919, 99.99=8273919] 
2025-05-01 03:03:17:533 86 sec: 9539000 operations; 16000 current ops/sec; est completion in 2 minutes [INSERT: Count=16000, Max=9027583, Min=2193408, Avg=4115840, 90=9019391, 99=9027583, 99.9=9027583, 99.99=9027583] 
2025-05-01 03:03:18:533 87 sec: 9552000 operations; 13000 current ops/sec; est completion in 2 minutes [INSERT: Count=13000, Max=10182655, Min=3043328, Avg=5741489.23, 90=9658367, 99=10182655, 99.9=10182655, 99.99=10182655] 
2025-05-01 03:03:19:533 88 sec: 9567000 operations; 15000 current ops/sec; est completion in 2 minutes [INSERT: Count=15000, Max=11059199, Min=3885056, Avg=7228484.27, 90=11042815, 99=11059199, 99.9=11059199, 99.99=11059199] 
2025-05-01 03:03:20:533 89 sec: 9579000 operations; 12000 current ops/sec; est completion in 2 minutes [INSERT: Count=12000, Max=11927551, Min=4816896, Avg=7357440, 90=11894783, 99=11927551, 99.9=11927551, 99.99=11927551] 
2025-05-01 03:03:21:533 90 sec: 9657000 operations; 78000 current ops/sec; est completion in 2 minutes [INSERT: Count=78000, Max=12476415, Min=5779456, Avg=11541530.26, 90=12410879, 99=12476415, 99.9=12476415, 99.99=12476415] 
2025-05-01 03:03:22:533 91 sec: 9793000 operations; 136000 current ops/sec; est completion in 2 minutes [INSERT: Count=136000, Max=11837439, Min=6742016, Avg=11015951.06, 90=11722751, 99=11821055, 99.9=11837439, 99.99=11837439] 
2025-05-01 03:03:23:533 92 sec: 9934000 operations; 141000 current ops/sec; est completion in 2 minutes [INSERT: Count=141000, Max=10731519, Min=7700480, Avg=9980906.21, 90=10575871, 99=10706943, 99.9=10731519, 99.99=10731519] 
2025-05-01 03:03:24:533 93 sec: 10077000 operations; 143000 current ops/sec; est completion in 2 minutes [INSERT: Count=143000, Max=9494527, Min=8085504, Avg=8789027.8, 90=9314303, 99=9461759, 99.9=9494527, 99.99=9494527] 
2025-05-01 03:03:25:533 94 sec: 10226000 operations; 149000 current ops/sec; est completion in 2 minutes [INSERT: Count=149000, Max=9912319, Min=6746112, Avg=7592375.84, 90=8118271, 99=9682943, 99.9=9912319, 99.99=9912319] 
2025-05-01 03:03:26:533 95 sec: 10371000 operations; 145000 current ops/sec; est completion in 2 minutes [INSERT: Count=145000, Max=10829823, Min=5402624, Avg=6327571.42, 90=6742015, 99=10452991, 99.9=10829823, 99.99=10829823] 
2025-05-01 03:03:27:533 96 sec: 10488000 operations; 117000 current ops/sec; est completion in 2 minutes [INSERT: Count=117000, Max=12009471, Min=4345856, Avg=5237698.74, 90=5455871, 99=11616255, 99.9=12009471, 99.99=12009471] 
2025-05-01 03:03:28:533 97 sec: 10501000 operations; 13000 current ops/sec; est completion in 2 minutes [INSERT: Count=13000, Max=12804095, Min=4755456, Avg=7858648.62, 90=12591103, 99=12804095, 99.9=12804095, 99.99=12804095] 
2025-05-01 03:03:29:533 98 sec: 10512000 operations; 11000 current ops/sec; est completion in 2 minutes [INSERT: Count=11000, Max=13828095, Min=5713920, Avg=8010658.91, 90=13205503, 99=13828095, 99.9=13828095, 99.99=13828095] 
2025-05-01 03:03:30:533 99 sec: 10550000 operations; 38000 current ops/sec; est completion in 2 minutes [INSERT: Count=38000, Max=14581759, Min=6672384, Avg=13274866.53, 90=14483455, 99=14581759, 99.9=14581759, 99.99=14581759] 
