2025-08-10 22:00:58:016 47 sec: 52118 operations; 1124 current ops/sec; est completion in 44 minutes [INSERT: Count=1124, Max=2109, Min=637, Avg=878.99, 90=916, 99=969, 99.9=1073, 99.99=2109] 
2025-08-10 22:00:59:016 48 sec: 53235 operations; 1117 current ops/sec; est completion in 44 minutes [INSERT: Count=1117, Max=2087, Min=663, Avg=888.09, 90=930, 99=978, 99.9=1929, 99.99=2087] 
2025-08-10 22:01:00:016 49 sec: 54358 operations; 1123 current ops/sec; est completion in 44 minutes [INSERT: Count=1123, Max=1014, Min=727, Avg=883.52, 90=922, 99=964, 99.9=1005, 99.99=1014] 
2025-08-10 22:01:01:016 50 sec: 55488 operations; 1130 current ops/sec; est completion in 44 minutes [INSERT: Count=1130, Max=992, Min=725, Avg=878.14, 90=915, 99=953, 99.9=989, 99.99=992] 
2025-08-10 22:01:02:016 51 sec: 56623 operations; 1135 current ops/sec; est completion in 44 minutes [INSERT: Count=1135, Max=1002, Min=683, Avg=874.29, 90=911, 99=945, 99.9=994, 99.99=1002] 
2025-08-10 22:01:03:016 52 sec: 57761 operations; 1138 current ops/sec; est completion in 44 minutes [INSERT: Count=1138, Max=1104, Min=600, Avg=872.27, 90=908, 99=944, 99.9=1020, 99.99=1104] 
2025-08-10 22:01:04:016 53 sec: 58892 operations; 1131 current ops/sec; est completion in 44 minutes [INSERT: Count=1131, Max=1227, Min=694, Avg=877.43, 90=916, 99=949, 99.9=1018, 99.99=1227] 
2025-08-10 22:01:05:016 54 sec: 60011 operations; 1119 current ops/sec; est completion in 44 minutes [INSERT: Count=1120, Max=967, Min=636, Avg=886.29, 90=921, 99=948, 99.9=961, 99.99=967] 
2025-08-10 22:01:06:016 55 sec: 61138 operations; 1127 current ops/sec; est completion in 44 minutes [INSERT: Count=1126, Max=1047, Min=654, Avg=881.41, 90=919, 99=947, 99.9=989, 99.99=1047] 
2025-08-10 22:01:07:016 56 sec: 62230 operations; 1092 current ops/sec; est completion in 44 minutes [INSERT: Count=1092, Max=20415, Min=412, Avg=897.83, 90=908, 99=942, 99.9=13511, 99.99=20415] 
2025-08-10 22:01:08:016 57 sec: 63319 operations; 1089 current ops/sec; est completion in 44 minutes [INSERT: Count=1089, Max=16055, Min=422, Avg=921.4, 90=918, 99=1018, 99.9=15679, 99.99=16055] 
2025-08-10 22:01:09:016 58 sec: 64449 operations; 1130 current ops/sec; est completion in 44 minutes [INSERT: Count=1130, Max=968, Min=638, Avg=878.32, 90=916, 99=949, 99.9=961, 99.99=968] 
2025-08-10 22:01:10:016 59 sec: 65580 operations; 1131 current ops/sec; est completion in 44 minutes [INSERT: Count=1132, Max=969, Min=744, Avg=877.51, 90=914, 99=948, 99.9=966, 99.99=969] 
2025-08-10 22:01:11:016 60 sec: 66720 operations; 1140 current ops/sec; est completion in 43 minutes [INSERT: Count=1139, Max=985, Min=640, Avg=871.19, 90=908, 99=938, 99.9=965, 99.99=985] 
2025-08-10 22:01:12:016 61 sec: 67853 operations; 1133 current ops/sec; est completion in 43 minutes [INSERT: Count=1133, Max=1003, Min=718, Avg=875.09, 90=912, 99=956, 99.9=987, 99.99=1003] 
