2025-08-10 22:45:43:903 72 sec: 76744 operations; 1091 current ops/sec; est completion in 45 minutes [INSERT: Count=1091, Max=1000, Min=683, Avg=911.72, 90=950, 99=985, 99.9=999, 99.99=1000] 
2025-08-10 22:45:44:903 73 sec: 77821 operations; 1077 current ops/sec; est completion in 45 minutes [INSERT: Count=1077, Max=2525, Min=675, Avg=923.94, 90=968, 99=1008, 99.9=1089, 99.99=2525] 
2025-08-10 22:45:45:903 74 sec: 78896 operations; 1075 current ops/sec; est completion in 45 minutes [INSERT: Count=1075, Max=1016, Min=796, Avg=923.04, 90=962, 99=993, 99.9=1015, 99.99=1016] 
2025-08-10 22:45:46:903 75 sec: 79976 operations; 1080 current ops/sec; est completion in 45 minutes [INSERT: Count=1080, Max=1074, Min=814, Avg=920.95, 90=958, 99=991, 99.9=1050, 99.99=1074] 
2025-08-10 22:45:47:903 76 sec: 81060 operations; 1084 current ops/sec; est completion in 45 minutes [INSERT: Count=1084, Max=1036, Min=727, Avg=918.03, 90=957, 99=996, 99.9=1027, 99.99=1036] 
2025-08-10 22:45:48:903 77 sec: 82139 operations; 1079 current ops/sec; est completion in 45 minutes [INSERT: Count=1079, Max=3213, Min=756, Avg=921.78, 90=958, 99=996, 99.9=1086, 99.99=3213] 
2025-08-10 22:45:49:903 78 sec: 83204 operations; 1065 current ops/sec; est completion in 45 minutes [INSERT: Count=1065, Max=1098, Min=848, Avg=929.68, 90=968, 99=1001, 99.9=1069, 99.99=1098] 
2025-08-10 22:45:50:903 79 sec: 84273 operations; 1069 current ops/sec; est completion in 45 minutes [INSERT: Count=1069, Max=1030, Min=813, Avg=926.65, 90=963, 99=995, 99.9=1026, 99.99=1030] 
2025-08-10 22:45:51:903 80 sec: 85335 operations; 1062 current ops/sec; est completion in 45 minutes [INSERT: Count=1062, Max=1997, Min=809, Avg=932.26, 90=968, 99=1003, 99.9=1064, 99.99=1997] 
2025-08-10 22:45:52:903 81 sec: 86406 operations; 1071 current ops/sec; est completion in 45 minutes [INSERT: Count=1071, Max=1059, Min=684, Avg=925.72, 90=965, 99=995, 99.9=1025, 99.99=1059] 
2025-08-10 22:45:53:903 82 sec: 87481 operations; 1075 current ops/sec; est completion in 45 minutes [INSERT: Count=1075, Max=1181, Min=682, Avg=921.53, 90=959, 99=991, 99.9=1012, 99.99=1181] 
2025-08-10 22:45:54:903 83 sec: 88572 operations; 1091 current ops/sec; est completion in 45 minutes [INSERT: Count=1091, Max=1044, Min=664, Avg=908.48, 90=949, 99=982, 99.9=1024, 99.99=1044] 
2025-08-10 22:45:55:903 84 sec: 89658 operations; 1086 current ops/sec; est completion in 45 minutes [INSERT: Count=1086, Max=998, Min=818, Avg=913.15, 90=947, 99=980, 99.9=995, 99.99=998] 
2025-08-10 22:45:56:903 85 sec: 90739 operations; 1081 current ops/sec; est completion in 45 minutes [INSERT: Count=1081, Max=1213, Min=808, Avg=917.53, 90=955, 99=997, 99.9=1165, 99.99=1213] 
2025-08-10 22:45:57:903 86 sec: 91806 operations; 1067 current ops/sec; est completion in 45 minutes [INSERT: Count=1067, Max=2353, Min=838, Avg=927.35, 90=966, 99=1019, 99.9=1077, 99.99=2353] 
2025-08-10 22:45:58:903 87 sec: 92868 operations; 1062 current ops/sec; est completion in 45 minutes [INSERT: Count=1062, Max=2277, Min=826, Avg=933.11, 90=973, 99=1011, 99.9=1158, 99.99=2277] 
2025-08-10 22:45:59:903 88 sec: 93938 operations; 1070 current ops/sec; est completion in 45 minutes [INSERT: Count=1070, Max=1056, Min=805, Avg=926.29, 90=965, 99=1016, 99.9=1042, 99.99=1056] 
2025-08-10 22:46:00:903 89 sec: 95016 operations; 1078 current ops/sec; est completion in 45 minutes [INSERT: Count=1078, Max=1016, Min=771, Avg=920.08, 90=959, 99=991, 99.9=1011, 99.99=1016] 
2025-08-10 22:46:01:903 90 sec: 96098 operations; 1082 current ops/sec; est completion in 45 minutes [INSERT: Count=1082, Max=1030, Min=806, Avg=916.41, 90=952, 99=987, 99.9=1027, 99.99=1030] 
2025-08-10 22:46:02:903 91 sec: 97179 operations; 1081 current ops/sec; est completion in 45 minutes [INSERT: Count=1081, Max=1022, Min=794, Avg=917.09, 90=952, 99=989, 99.9=1021, 99.99=1022] 
2025-08-10 22:46:03:903 92 sec: 98243 operations; 1064 current ops/sec; est completion in 45 minutes [INSERT: Count=1064, Max=3845, Min=807, Avg=931.94, 90=967, 99=1047, 99.9=2995, 99.99=3845] 
2025-08-10 22:46:04:903 93 sec: 99324 operations; 1081 current ops/sec; est completion in 45 minutes [INSERT: Count=1081, Max=1061, Min=708, Avg=917.92, 90=957, 99=995, 99.9=1048, 99.99=1061] 
2025-08-10 22:46:05:903 94 sec: 100399 operations; 1075 current ops/sec; est completion in 45 minutes [INSERT: Count=1075, Max=1061, Min=798, Avg=922.02, 90=957, 99=993, 99.9=1039, 99.99=1061] 
