2025-05-01 04:21:38:751 53 sec: 6309000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=78399, Min=36192, Avg=53705.39, 90=64127, 99=75839, 99.9=78399, 99.99=78399] 
2025-05-01 04:21:39:751 54 sec: 6428000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=72063, Min=31456, Avg=54810.55, 90=66623, 99=71935, 99.9=72063, 99.99=72063] 
2025-05-01 04:21:40:751 55 sec: 6514000 operations; 86000 current ops/sec; est completion in 2 minutes [INSERT: Count=86000, Max=551935, Min=31600, Avg=79923.26, 90=75775, 99=551935, 99.9=551935, 99.99=551935] 
2025-05-01 04:21:41:751 56 sec: 6588000 operations; 74000 current ops/sec; est completion in 2 minutes [INSERT: Count=74000, Max=1410047, Min=34848, Avg=237427.03, 90=982015, 99=1410047, 99.9=1410047, 99.99=1410047] 
2025-05-01 04:21:42:751 57 sec: 6617000 operations; 29000 current ops/sec; est completion in 2 minutes [INSERT: Count=29000, Max=2059263, Min=35008, Avg=1038555.59, 90=2054143, 99=2059263, 99.9=2059263, 99.99=2059263] 
2025-05-01 04:21:43:751 58 sec: 6644000 operations; 27000 current ops/sec; est completion in 2 minutes [INSERT: Count=27000, Max=2947071, Min=884224, Avg=1817277.63, 90=2926591, 99=2947071, 99.9=2947071, 99.99=2947071] 
2025-05-01 04:21:44:751 59 sec: 6738000 operations; 94000 current ops/sec; est completion in 2 minutes [INSERT: Count=94000, Max=3323903, Min=1571840, Avg=2846725.45, 90=3272703, 99=3323903, 99.9=3323903, 99.99=3323903] 
2025-05-01 04:21:45:751 60 sec: 6884000 operations; 146000 current ops/sec; est completion in 2 minutes [INSERT: Count=146000, Max=3016703, Min=1310720, Avg=2018658.19, 90=2539519, 99=2871295, 99.9=3016703, 99.99=3016703] 
2025-05-01 04:21:46:751 61 sec: 7031000 operations; 147000 current ops/sec; est completion in 2 minutes [INSERT: Count=147000, Max=4005887, Min=60800, Avg=881925.22, 90=1272831, 99=3981311, 99.9=4005887, 99.99=4005887] 
2025-05-01 04:21:47:751 62 sec: 7141000 operations; 110000 current ops/sec; est completion in 2 minutes [INSERT: Count=110000, Max=4575231, Min=34496, Avg=2018928.73, 90=4489215, 99=4575231, 99.9=4575231, 99.99=4575231] 
2025-05-01 04:21:48:751 63 sec: 7333000 operations; 192000 current ops/sec; est completion in 2 minutes [INSERT: Count=192000, Max=4188159, Min=42592, Avg=2480294.42, 90=3993599, 99=4173823, 99.9=4188159, 99.99=4188159] 
2025-05-01 04:21:49:751 64 sec: 7526000 operations; 193000 current ops/sec; est completion in 2 minutes [INSERT: Count=193000, Max=2992127, Min=32832, Avg=1659160.62, 90=2803711, 99=2961407, 99.9=2992127, 99.99=2992127] 
2025-05-01 04:21:50:751 65 sec: 7726000 operations; 200000 current ops/sec; est completion in 2 minutes [INSERT: Count=200000, Max=1758207, Min=33600, Avg=781887.68, 90=1547263, 99=1731583, 99.9=1758207, 99.99=1758207] 
2025-05-01 04:21:51:751 66 sec: 7828000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=747007, Min=32544, Avg=172706.43, 90=414207, 99=710143, 99.9=747007, 99.99=747007] 
2025-05-01 04:21:52:751 67 sec: 7899000 operations; 71000 current ops/sec; est completion in 2 minutes [INSERT: Count=71000, Max=1487871, Min=33248, Avg=248187.94, 90=1077247, 99=1487871, 99.9=1487871, 99.99=1487871] 
