2025-04-30 15:39:17:226 80 sec: 7955000 operations; 103000 current ops/sec; est completion in 2 minutes [INSERT: Count=103000, Max=180863, Min=47872, Avg=66830.45, 90=93247, 99=120319, 99.9=180863, 99.99=180863] 
2025-04-30 15:39:18:226 81 sec: 8055000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=136575, Min=44416, Avg=68990.4, 90=97023, 99=121727, 99.9=136575, 99.99=136575] 
2025-04-30 15:39:19:226 82 sec: 8153000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=179583, Min=51808, Avg=79144, 90=108479, 99=179583, 99.9=179583, 99.99=179583] 
2025-04-30 15:39:20:226 83 sec: 8254000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=197887, Min=49280, Avg=86502.97, 90=124223, 99=188671, 99.9=197887, 99.99=197887] 
2025-04-30 15:39:21:226 84 sec: 8351000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=204799, Min=53120, Avg=84263.09, 90=115903, 99=204799, 99.9=204799, 99.99=204799] 
2025-04-30 15:39:22:226 85 sec: 8452000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=178047, Min=51136, Avg=86003.96, 90=132479, 99=160383, 99.9=178047, 99.99=178047] 
2025-04-30 15:39:23:226 86 sec: 8552000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100850, Max=160895, Min=46176, Avg=86030.58, 90=120767, 99=160639, 99.9=160895, 99.99=160895] 
2025-04-30 15:39:24:226 87 sec: 8653000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=100150, Max=174719, Min=53024, Avg=96796.49, 90=142335, 99=169343, 99.9=174719, 99.99=174719] 
2025-04-30 15:39:25:226 88 sec: 8755000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=311039, Min=51456, Avg=103879.06, 90=171647, 99=250751, 99.9=311039, 99.99=311039] 
2025-04-30 15:39:26:226 89 sec: 8855000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=145791, Min=45344, Avg=73143.36, 90=96127, 99=127935, 99.9=145791, 99.99=145791] 
2025-04-30 15:39:27:226 90 sec: 8956000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=137983, Min=51136, Avg=63446.34, 90=81407, 99=113727, 99.9=137983, 99.99=137983] 
2025-04-30 15:39:28:226 91 sec: 9053000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=128639, Min=47680, Avg=72322.97, 90=98367, 99=128639, 99.9=128639, 99.99=128639] 
2025-04-30 15:39:29:226 92 sec: 9154000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=139903, Min=51904, Avg=67944, 90=93567, 99=106047, 99.9=139903, 99.99=139903] 
2025-04-30 15:39:30:226 93 sec: 9255000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=137599, Min=45216, Avg=70893.6, 90=99775, 99=124287, 99.9=137599, 99.99=137599] 
2025-04-30 15:39:31:226 94 sec: 9354000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=176383, Min=50464, Avg=82588.77, 90=122367, 99=176383, 99.9=176383, 99.99=176383] 
