2025-08-18 15:32:36:355 740 sec: 11634526 operations; 15793.5 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=157932, Max=10535, Min=561, Avg=2021.07, 90=2693, 99=3747, 99.9=5263, 99.99=8767] 
2025-08-18 15:32:46:355 750 sec: 11793688 operations; 15916.2 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=159162, Max=8011, Min=557, Avg=2005.45, 90=2677, 99=3707, 99.9=5283, 99.99=7231] 
2025-08-18 15:32:56:355 760 sec: 11953720 operations; 16003.2 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=160033, Max=9295, Min=563, Avg=1994.48, 90=2669, 99=3697, 99.9=5295, 99.99=7663] 
2025-08-18 15:33:06:355 770 sec: 12111884 operations; 15816.4 current ops/sec; est completion in 1 hour 33 minutes [INSERT: Count=158167, Max=12071, Min=454, Avg=2018.13, 90=2689, 99=3743, 99.9=5463, 99.99=7611] 
2025-08-18 15:33:16:355 780 sec: 12270730 operations; 15884.6 current ops/sec; est completion in 1 hour 32 minutes [INSERT: Count=158844, Max=10487, Min=554, Avg=2009.44, 90=2681, 99=3705, 99.9=5143, 99.99=7463] 
2025-08-18 15:33:26:355 790 sec: 12428317 operations; 15758.7 current ops/sec; est completion in 1 hour 32 minutes [INSERT: Count=157593, Max=9423, Min=538, Avg=2025.61, 90=2699, 99=3773, 99.9=5183, 99.99=8107] 
2025-08-18 15:33:36:355 800 sec: 12587470 operations; 15915.3 current ops/sec; est completion in 1 hour 32 minutes [INSERT: Count=159150, Max=7943, Min=559, Avg=2004.73, 90=2683, 99=3691, 99.9=5175, 99.99=7031] 
2025-08-18 15:33:46:355 810 sec: 12745426 operations; 15795.6 current ops/sec; est completion in 1 hour 32 minutes [INSERT: Count=157955, Max=9663, Min=550, Avg=2020.23, 90=2689, 99=3695, 99.9=5135, 99.99=7935] 
2025-08-18 15:33:56:355 820 sec: 12905074 operations; 15964.8 current ops/sec; est completion in 1 hour 32 minutes [INSERT: Count=159643, Max=8879, Min=533, Avg=1999.2, 90=2675, 99=3709, 99.9=5375, 99.99=7431] 
2025-08-18 15:34:06:355 830 sec: 13064513 operations; 15943.9 current ops/sec; est completion in 1 hour 32 minutes [INSERT: Count=159439, Max=9375, Min=565, Avg=2001.67, 90=2671, 99=3703, 99.9=5227, 99.99=7967] 
